,distance_liquid,distance_column,ratio,-ln_intensity,I_empty,I_full
0,0.0,0.0,,0.019105755557457124,14391.015352941173,14118.674058823515
1,0.0,0.0,,0.021023646035686808,14424.50958823529,14124.419352941168
2,0.0,0.0,,0.0200388807942754,14407.364588235298,14121.530588235299
3,0.0,0.0,,0.019208918052903708,14394.142647058814,14120.285411764708
4,0.0,0.0,,0.01919508905442933,14398.955705882356,14125.202235294119
5,0.0,0.0,,0.01710392786448822,14366.016000000001,14122.390117647054
6,0.0,0.0,,0.01742999373085331,14381.324176470585,14132.829705882355
7,0.0,0.0,,0.016446347089114487,14359.280823529403,14125.054470588242
8,0.0,0.0,,0.01592456453742478,14348.033294117638,14121.356764705888
9,0.0,0.0,,0.017199955803641597,14362.006529411763,14117.092941176476
10,0.0,0.0,,0.015797487124102148,14328.211470588232,14103.640235294119
11,0.0,0.0,,0.016687484041514673,14344.240823529408,14106.857705882354
12,0.0,0.0,,0.01702985147734608,14342.996,14100.804999999998
13,0.0,0.0,,0.01757823259705296,14342.312647058821,14092.403058823527
14,0.0,0.0,,0.016639951282334475,14319.158411764705,14082.859764705881
15,0.0,0.0,,0.015946465479844442,14308.598647058825,14082.23670588235
16,0.0,0.0,,0.01510802043707522,14298.156588235295,14083.763352941176
17,0.0,0.0,,0.01502053669883281,14296.789882352943,14083.649176470593
18,0.0,0.0,,0.014308228977712155,14277.494117647064,14074.662999999993
19,0.0,0.0,,0.01632960129857763,14311.17941176471,14079.38129411765
20,0.0,0.0,,0.01441487537109288,14264.411882352942,14060.267058823529
21,0.0,0.0,,0.014125777441886965,14257.691352941183,14057.706176470596
22,0.0,0.0,,0.015207167102416564,14280.812470588236,14065.284705882348
23,0.0,0.0,,0.013359953558873004,14232.100411764712,14043.224705882356
24,0.0,0.0,,0.01492006132051445,14264.51776470588,14053.270117647058
25,0.0,0.0,,0.014612278736329292,14255.30982352941,14048.52176470589
26,0.0,0.0,,0.012491039144583757,14186.827882352945,14010.721823529422
27,0.0,0.0,,0.01374739565595429,14216.788470588239,14022.681941176474
28,0.0,0.4675980876650766,1.0,0.011835904238693407,14156.244823529412,13989.680529411762
29,0.0,1.1693859389653254,1.0,0.012121672031286062,14158.41305882353,13987.825411764701
30,0.0,1.582875882599385,1.0,0.011411755345338412,14116.681882352941,13956.501470588231
31,0.0,1.908260648638349,1.0,0.009491715987952048,14018.224529411764,13885.797000000002
32,0.0,2.185340652682709,1.0,0.004812948857861847,13680.561882352948,13614.876235294118
33,0.0,2.430708606686476,1.0,-0.001937484948627942,12445.232000000005,12469.36782352941
34,0.0,2.6531829241198186,1.0,0.0010027554946479057,11054.859176470587,11043.7794117647
35,0.0,2.8581169446650097,1.0,0.0053706548128486745,10103.540588235297,10049.423411764703
36,0.0,3.0490505487789257,1.0,0.008113945857713316,9389.150882352946,9313.276058823532
37,0.0,3.2284692098701204,1.0,0.010236478738695556,8904.712058823528,8814.024117647063
38,0.0,3.398197613423265,1.0,0.011700513035914484,8465.059705882357,8366.591352941177
39,0.0,3.5596223319999685,1.0,0.013232175693061017,8096.654470588234,7990.223823529408
40,0.0,3.7138263943142906,1.0,0.014614761673127813,7777.927588235295,7665.081647058829
41,0.0,3.861674948481026,1.0,0.01599065079586329,7475.212823529414,7356.629941176469
42,0.0,4.003872135643847,1.0,0.016747981532023802,7228.376352941176,7108.323764705881
43,0.0,4.141000185791754,1.0,0.018632960304593035,6994.479941176467,6865.358764705881
44,0.0,4.273547090721853,1.0,0.020371859529452366,6764.236705882349,6627.830764705882
45,0.0,4.401926686870325,1.0,0.021816452837449707,6591.678352941175,6449.428647058823
46,0.0,4.52649354760774,1.0,0.022894276826947658,6390.584176470588,6245.938470588237
47,0.0,4.647554236389025,1.0,0.023538607610923173,6216.562705882348,6071.942235294118
48,0.0,4.765375952173793,1.0,0.02552138953057077,6054.86064705882,5902.287411764701
49,0.0,4.8801932698625,1.0,0.026383092885088676,5889.661294117643,5736.305705882354
50,0.0,4.992213465053211,1.0,0.02792778021628377,5755.821529411766,5597.298117647059
51,0.0,5.1016207704724295,1.0,0.029422754995549198,5610.510823529414,5447.838999999996
52,0.0,5.208579814977989,1.0,0.03149214741471143,5495.554058823533,5325.184
53,0.0,5.313238429227735,1.0,0.03280899274065272,5380.826882352941,5207.152000000002
54,0.0,5.415729955018897,1.0,0.03508618067600931,5257.8765882352955,5076.596588235296
55,0.0,5.516175161595581,1.0,0.036498678851730935,5167.2588235294115,4982.060999999998
56,0.0,5.614683847733874,1.0,0.03892520857562413,5050.474352941174,4857.660588235292
57,0.0,5.7113561903854055,1.0,0.040982207824181285,4956.106470588237,4757.0999999999985
58,0.0,5.806283887240599,1.0,0.042877196370101095,4864.442352941174,4660.276999999997
59,0.0,5.8995511304488435,1.0,0.04520712928635927,4766.666823529413,4555.977705882353
60,0.0,5.991235441034268,1.0,0.04785205022857529,4699.055294117648,4479.49105882353
61,0.0,6.081408387623904,1.0,0.05139402520583764,4610.502352941175,4379.536058823533
62,0.0,6.170136208514554,1.0,0.05392503094779771,4544.630117647056,4306.051294117646
63,0.31161846822279515,5.945861884290384,0.9502006477579046,0.05704689743151165,4484.543117647057,4235.874176470588
64,1.097357827099633,5.246140124051196,0.8270106121969265,0.061434575851402454,4412.821235294116,4149.8809411764705
65,1.5124111023085702,4.915831130322031,0.7647240026781547,0.06768162601969081,4363.593999999997,4078.031529411764
66,1.8353339317850734,4.676428954275423,0.7181509886187796,0.08352118145616526,4347.684588235293,3999.311588235293
67,2.108978385918306,4.485127997167805,0.6801722229826564,0.14076671870003152,4542.9292352941175,3946.4060000000013
68,2.350636608432483,4.3246796544274,0.6478613872557691,0.23080695509316643,4950.649117647056,3930.284235294118
69,2.569355666185548,4.186077719144482,0.6196608685735675,0.2984513661142505,5223.502117647061,3875.662882352939
70,2.7705759321299386,4.063920224923913,0.594618847027891,0.3635593958169918,5496.362176470588,3821.0568823529393
71,2.9578719097384187,3.954668823354546,0.5721006177109439,0.4140533191044743,5696.857705882348,3765.4275882352954
72,3.1337418059447177,3.855859392071859,0.5516565656372537,0.45743101128785796,5885.378000000001,3724.8998235294102
